"SP1_MAP_Diff","SP1_Post_Mean_Diff","SP1_Post_SD_Diff","SP1_MAP_DGP","SP1_Post_Mean_DGP","SP1_Post_SD_DGP"
0.466356301097421,0.423713464682565,0.0708341921645866,0.410573676423601,0.411263206406151,0.0150015428130991
0.303988632095384,0.344899497620819,0.0552050629786239,0.393533208863325,0.395607989323004,0.0327879727909083
0.544280174299287,0.522045313248478,0.0591672536781563,0.463734481825225,0.463946819572591,0.0163787944467236
0.340919352233355,0.404932487486427,0.0823421105223827,0.412262982800785,0.412993617423403,0.0143203034972555
0.31285804709012,0.369313218374024,0.0825749296233294,0.405381796266116,0.406009345564755,0.0146749331305129
0.296679869342294,0.332848321234352,0.0520740928514031,0.382294463847841,0.384167499171297,0.030120662648432
0.363771920725687,0.397373520242718,0.0634699793742161,0.41505431571441,0.415510242682478,0.0146522558372908
0.45981421456633,0.419401328930773,0.0561275940790649,0.395325139671883,0.396146814108004,0.0156026786461759
0.329123535456673,0.407266607555783,0.0764939235374113,0.39525861440741,0.397897271906536,0.0366644017535027
0.433160948887903,0.474094451023592,0.101519834887579,0.416181225060161,0.416801334831886,0.0156113521831916
0.581603747406535,0.476925689798034,0.0978461244698224,0.413549061804422,0.41468498803153,0.017052772973567
0.481600314697787,0.444458080932111,0.0561880994582963,0.38917070283151,0.390238687371805,0.0203745021821371
0.51208748354097,0.47880476584087,0.0584329226919189,0.419886603264383,0.420580685059666,0.0140016660174735
0.349473733034721,0.386065824889578,0.0772313765668182,0.373905645907484,0.374535341114385,0.0163052968856023
0.39275158107655,0.390242966291897,0.0232807002073174,0.406953163525369,0.40792735838676,0.0156859923622406
0.370547566704308,0.368979186966454,0.0493289663029543,0.375805675231196,0.377298468993823,0.0196789619071802
0.31583557675761,0.371361346357452,0.0863364506851912,0.407364604689918,0.40849786137563,0.0188051098432099
0.354661414539531,0.425388956573165,0.0921237365079136,0.395091880822499,0.395984737374383,0.023328804468467
0.329441870326674,0.389205660362715,0.058823543832059,0.395979540021479,0.42231633677655,0.121158872659212
0.394678833047425,0.413735381954723,0.0546514324451152,0.399025505865042,0.39949051694615,0.0138804622214911
0.502730490687327,0.4482919882323,0.0669853727695853,0.401570980234689,0.404136683558073,0.03460552627835
0.438433644413459,0.432307690473479,0.0390534753419198,0.38992006772795,0.392101293723007,0.030740104838119
0.32213432066115,0.357395068825189,0.0733394363931556,0.414500683290914,0.414911329521712,0.0161066409763397
0.504190471280764,0.449213966204671,0.0681489771231916,0.398773237613966,0.399512577370528,0.0148042777194242
0.43025334979559,0.430540259825966,0.0445177869576977,0.403665241758451,0.439309965120733,0.139943286174736
0.423321116168543,0.428716096648571,0.0275602449727818,0.401766150153564,0.402382425162085,0.0187936597613831
0.4717276004867,0.397057294747913,0.0964804561157676,0.382099887449997,0.384431770950108,0.0336299537548714
0.318485367814371,0.346880858596615,0.054892264959478,0.39401210360645,0.395609246662238,0.0241338177230554
0.351892424104646,0.341310903001957,0.0748411063716381,0.397892965512265,0.398830542203769,0.0213675147451331
0.455942018461697,0.424945209837064,0.065967241131133,0.420557857524917,0.42138147438349,0.0146376777643733
0.421954574776358,0.383044673701246,0.0689050558794305,0.367264793704147,0.387485899989164,0.106912218891881
0.519561889828633,0.487035665542638,0.0582721543572947,0.407525698430946,0.408156077005724,0.0145837439207822
0.342046503506498,0.441742416912799,0.0922236564665944,0.392452109256516,0.399528217005418,0.0643255562735588
0.467664415761146,0.442470327969434,0.0538689240066032,0.416519085645922,0.416970980323252,0.0144853897340799
0.330527060328209,0.381216140984366,0.080736526644439,0.397624434024335,0.398977223208125,0.0215643353716891
0.470437366431681,0.481765961472384,0.0407400644005464,0.404733222640257,0.404979029464839,0.0128967925451027
0.362420470964546,0.409634737570586,0.061767032159672,0.419801704916857,0.421117151174706,0.0158573572463025
0.564382214215126,0.496033130483683,0.10041193449463,0.439875886491077,0.440495507537864,0.0150991508889895
0.343445283203891,0.403935760376065,0.0793590891413891,0.42896150536597,0.429552701558089,0.0139878993273913
0.392431437833297,0.486157793461705,0.0768020193143169,0.410683799002465,0.411366930033071,0.0165937619058273
