"SP1_90_Lower_Diff","SP1_90_Upper_Diff","SP1_95_Lower_Diff","SP1_95_Upper_Diff","SP1_99_Lower_Diff","SP1_99_Upper_Diff","SP1_90_Lower_DGP","SP1_90_Upper_DGP","SP1_95_Lower_DGP","SP1_95_Upper_DGP","SP1_99_Lower_DGP","SP1_99_Upper_DGP"
0.224853141015735,0.642336923919773,0.211944657596682,0.666531658332709,0.15207871657006,0.696308647560192,0.367063979032634,0.456455601182619,0.358567100363209,0.464762087501237,0.337501366869974,0.47748765037542
0.290336659096147,0.625909366514249,0.288691140549049,0.658423052955697,0.254966636005053,0.684084787401104,0.420293469120105,0.497060135189335,0.412724782536143,0.5049940447569,0.400058928501909,0.520620072686224
0.348638039679952,0.488537141097478,0.305948634317971,0.4910465349591,0.218865237343473,0.509184024958832,0.355149803728326,0.449781636308678,0.347011696158361,0.463457236644954,0.328621429873038,0.95776170858866
0.235675439104099,0.659934788588064,0.180329274051811,0.679577822525433,0.116826114668033,0.793632758751867,0.394447379053663,0.505628114500032,0.382198323901372,0.514747282274553,0.35944451007794,0.538317680751455
0.215929981892598,0.538243944805828,0.233755159994413,0.63406210814503,0.161761926391127,0.658400122747052,0.345300416312867,0.925664985406115,0.347994022630954,0.951577459836371,0.342397037543112,0.963951409863898
0.256827421238712,0.545462263302278,0.243999332237813,0.647959879242785,0.217618222660393,0.729660114026656,0.389855442873671,0.465770665556457,0.382885276960792,0.473257368409799,0.366280790034438,0.485250319462361
0.317285995609367,0.662958962376189,0.313175757320771,0.683962887571843,0.285396859862272,0.706222662372713,0.408150097394032,0.494443241946229,0.402586002752552,0.505436572262107,0.389092299350217,0.524331874920946
0.228337820803008,0.532288242967033,0.230440064357562,0.645825829425642,0.209154688116098,0.697011010371879,0.378786355522031,0.473713800113448,0.369566917806517,0.482047422127046,0.352435915885014,0.500487679215178
0.269620752609254,0.579442115703044,0.247976118175573,0.618561830565826,0.129261943925513,0.642818409601371,0.354754785746622,0.455315185877498,0.345660595267977,0.465789584736796,0.326731790432982,0.486423452734936
0.298286478646013,0.577937534948583,0.292231202577883,0.634478801498597,0.267469753630978,0.703690620692194,0.352651124606362,0.471480571129289,0.339065606382392,0.482384795079599,0.308946392683672,0.505714383197253
0.301303032127293,0.666851404910917,0.301972375004339,0.71003944644536,0.247503401916565,0.729615333634664,0.361403630637328,0.467390428082484,0.34520316253323,0.475087905181047,0.316439186567967,0.50171001346485
0.352888291602314,0.535607023622007,0.329397236228804,0.53852754164959,0.295492070137818,0.564221641885628,0.34415581707289,0.46332341668707,0.332102371966433,0.91379801734757,0.341036933039007,0.969121685521134
0.28728234022233,0.449680410476289,0.267209355496507,0.559910673000241,0.250217658870452,0.651206400715583,0.343511328157195,0.434386352101784,0.332452518945947,0.454917346975634,0.333151902282094,0.991845285157312
0.266898267726575,0.646479048920565,0.243646917884139,0.667391043153328,0.183625352798438,0.699878325691075,0.385430102407598,0.502360466910848,0.373777424574253,0.513972679241433,0.34426849708531,0.547187557650904
0.230031496469008,0.52955090603092,0.198425865963957,0.561377112111912,0.128803872376398,0.610084775327317,0.360508942367782,0.441364129460369,0.354339637675714,0.451908328988033,0.335731057028632,0.466978062385148
