"SP1_MAP","SP1_Post_Mean","SP1_Post_SD","SP2_MAP","SP2_Post_Mean","SP2_Post_SD"
0.43229234652687,0.346672589337853,0.0842590865811841,0.510528535291631,0.587347768735381,0.085132794752478
0.173975889778572,0.248012184622925,0.076951052540582,0.656757866376469,0.58232773998912,0.0725997847964206
0.245662533902847,0.263367855842181,0.0538830496613322,0.728860119589291,0.683020650084417,0.0540048813608948
0.26682480242014,0.266573498888066,0.0592485930018178,0.627926016694909,0.619998164143931,0.081770940190318
0.226668286413726,0.326783256585271,0.079686069129542,0.520794586731295,0.621625702306598,0.0817772349898176
0.199212215820158,0.248572352570915,0.0692006962985722,0.63254713892349,0.626606336082261,0.0692524022307252
0.372220932276574,0.242471642300468,0.111807441133192,0.717724906178243,0.700875576749664,0.0481417675557018
0.324297371109166,0.287565763624205,0.0601207495312224,0.811293975550627,0.750164407942858,0.095765332194906
0.305633305784631,0.30075432576067,0.0614349164357437,0.696543551784849,0.655868757437261,0.0784730393171739
0.213771129190639,0.337696609607685,0.0632907528015692,0.72540135640192,0.675395555160073,0.0722125185502945
0.323182289703812,0.284993247840217,0.0840676605855323,0.70899277247838,0.702000114502227,0.111531167338292
0.219816469974746,0.286956068664982,0.0677131786569041,0.634689465198835,0.614353625996618,0.0918100432165277
0.25031677964497,0.246364912819712,0.040634762920005,0.616222960831012,0.620442119010589,0.074832317989214
0.128989473166808,0.230952051520625,0.0868939462759413,0.72212382982336,0.690750009986148,0.0762899733616107
0.247204519695023,0.253034206978013,0.0711714052126008,0.760471896921502,0.743503387979168,0.0790388865373222
0.17126972578476,0.272092095063071,0.108567814707026,0.653716832888651,0.641531339246178,0.0437840279481605
0.189680709681731,0.248781930530903,0.0713459498056803,0.486611683189612,0.581322659016353,0.0880425161657652
0.214530358586978,0.245865675687173,0.0818532396036138,0.70828394445883,0.649699628810304,0.103674802703829
0.160129115754991,0.187657088043447,0.0783924411980447,0.581280818727252,0.605232591038598,0.0899435883527326
0.0625311078686201,0.154892490877757,0.0934820723347828,0.579491012931746,0.616844593941531,0.0783200867696071
0.215724843694705,0.338791451694839,0.115855890334708,0.711595809797208,0.716255153025632,0.058234087114139
0.261732796220324,0.287329755029998,0.0580716180958753,0.615311039784032,0.617993078189494,0.0920091579638848
0.202411254569206,0.239180977883489,0.0982326694559723,0.622494988919741,0.638988594441773,0.0548055238778607
0.332695990918269,0.308824369457687,0.0614313506489904,0.602224871052586,0.64333521334161,0.0543878321082048
0.29987788503504,0.310654877270128,0.0537956957194067,0.623626727463935,0.631674178871246,0.052292493275161
0.405669638862068,0.353325163930848,0.0797091015211141,0.684939366716026,0.70474835935219,0.0409555771293929
0.288833663771631,0.252713905433448,0.075028715433478,0.591158203857286,0.602898740549492,0.0680543752478173
0.331382359043133,0.343214028543349,0.0768453295762088,0.660180819749033,0.653358653543609,0.0734684348006016
0.20019831001158,0.291264863027041,0.0907238403388759,0.513071580592457,0.568205449498988,0.0804977633989679
0.297532421646554,0.287486873581582,0.0565291918840415,0.691509363485007,0.639039338176727,0.0749917837598561
0.184226975607695,0.282401412452803,0.0730299899482823,0.667309005566865,0.635041163692504,0.092185364105599
0.402074316710935,0.356992187037412,0.082678126803114,0.778237197836152,0.692178006634344,0.0878202127378397
0.182126088833927,0.300359667458223,0.0701340676597653,0.700897226586277,0.684242975541462,0.0770780041896136
0.243458012984614,0.295288189882023,0.0806014773889985,0.688188748897068,0.627560483577678,0.081846248342396
0.299635979134329,0.3008660589955,0.0960279699430472,0.585643373397385,0.649067498508096,0.0635171112732184
0.19232496929543,0.232562906694376,0.0598362945960039,0.449899082640335,0.554715424762768,0.110450479204136
0.371022565340313,0.34154333876067,0.0911341649972587,0.682069266806734,0.688356763943913,0.070760583645337
0.160848230050453,0.272392203107376,0.09522882368655,0.719381334809306,0.693640685688365,0.0904416502204803
0.197469523561708,0.328756093671794,0.0733234897114656,0.748040818714303,0.693122493824915,0.0574669114888143
0.201198484734953,0.2589388473423,0.0601642263734526,0.653980155002883,0.64240229395015,0.058066696757109
0.3114007545658,0.373852082310186,0.0852967916614849,0.594185797868532,0.619614531300727,0.0528981787257615
0.24899427746824,0.291630691777042,0.0645725519213286,0.763057098022228,0.679276859853414,0.096295826088372
